Year,Season,Month,Time,# Seats
2025,summer,6,4PM-12AM,9.524
2025,summer,7,12AM-8AM,13.46967742
2025,summer,7,8AM-4PM,5.572903226
2025,summer,7,4PM-12AM,9.501290323
2025,summer,8,12AM-8AM,13.35677419
2025,summer,8,8AM-4PM,5.279354839
2025,summer,8,4PM-12AM,9.407096774
2025,fall,9,12AM-8AM,12.43733333
2025,fall,9,8AM-4PM,6.572666667
2025,fall,9,4PM-12AM,9.112666667
2025,fall,10,12AM-8AM,12.36580645
2025,fall,10,8AM-4PM,6.58
2025,fall,10,4PM-12AM,9.649677419
2025,fall,11,12AM-8AM,12.342
2025,fall,11,8AM-4PM,6.577333333
2025,fall,11,4PM-12AM,9.307333333
2026,winter,12,12AM-8AM,13.72645161
2026,winter,12,8AM-4PM,5.343870968
2026,winter,12,4PM-12AM,9.52
2026,winter,1,12AM-8AM,13.48451613
2026,winter,1,8AM-4PM,5.383225806
2026,winter,1,4PM-12AM,9.450322581
2026,winter,2,12AM-8AM,13.58214286
2026,winter,2,8AM-4PM,5.345714286
2026,winter,2,4PM-12AM,9.619285714
2026,spring,3,12AM-8AM,12.62645161
2026,spring,3,8AM-4PM,6.341935484
2026,spring,3,4PM-12AM,9.418064516
2026,spring,4,12AM-8AM,12.66333333
2026,spring,4,8AM-4PM,6.530666667
2026,spring,4,4PM-12AM,9.344
2026,spring,5,12AM-8AM,12.61096774
2026,spring,5,8AM-4PM,6.442580645
2026,spring,5,4PM-12AM,9.632903226
2026,summer,6,12AM-8AM,13.57533333
2026,summer,6,8AM-4PM,5.423333333
2026,summer,6,4PM-12AM,9.522
2026,summer,7,12AM-8AM,13.41290323
2026,summer,7,8AM-4PM,5.602580645
2026,summer,7,4PM-12AM,9.470967742
2026,summer,8,12AM-8AM,13.39225806
2026,summer,8,8AM-4PM,5.66
2026,summer,8,4PM-12AM,9.623225806
2026,fall,9,12AM-8AM,12.434
2026,fall,9,8AM-4PM,6.476
2026,fall,9,4PM-12AM,9.740666667
2026,fall,10,12AM-8AM,12.55741935
2026,fall,10,8AM-4PM,6.421935484
2026,fall,10,4PM-12AM,9.309677419
2026,fall,11,12AM-8AM,12.51266667
2026,fall,11,8AM-4PM,6.445333333
2026,fall,11,4PM-12AM,9.501333333
2027,winter,12,12AM-8AM,13.76064516
2027,winter,12,8AM-4PM,5.356774194
2027,winter,12,4PM-12AM,9.576129032
2027,winter,1,12AM-8AM,13.51096774
2027,winter,1,8AM-4PM,5.323225806
2027,winter,1,4PM-12AM,9.408387097
2027,winter,2,12AM-8AM,13.64714286
2027,winter,2,8AM-4PM,5.45
2027,winter,2,4PM-12AM,9.27
2027,spring,3,12AM-8AM,12.4283871
2027,spring,3,8AM-4PM,6.736129032
2027,spring,3,4PM-12AM,9.476774194
2027,spring,4,12AM-8AM,12.62333333
2027,spring,4,8AM-4PM,6.100666667
2027,spring,4,4PM-12AM,9.350666667
2027,spring,5,12AM-8AM,12.40580645
2027,spring,5,8AM-4PM,6.530967742
2027,spring,5,4PM-12AM,9.34516129
2027,summer,6,12AM-8AM,13.47733333
2027,summer,6,8AM-4PM,5.418666667
2027,summer,6,4PM-12AM,9.515333333
2027,summer,7,12AM-8AM,13.53806452
2027,summer,7,8AM-4PM,5.347096774
2027,summer,7,4PM-12AM,9.705806452
2027,summer,8,12AM-8AM,13.45290323
2027,summer,8,8AM-4PM,5.357419355
2027,summer,8,4PM-12AM,9.554193548
2027,fall,9,12AM-8AM,12.616
2027,fall,9,8AM-4PM,6.387333333
2027,fall,9,4PM-12AM,9.423333333
2027,fall,10,12AM-8AM,12.68774194
2027,fall,10,8AM-4PM,6.543225806
2027,fall,10,4PM-12AM,9.774193548
2027,fall,11,12AM-8AM,12.58133333
2027,fall,11,8AM-4PM,6.296666667
2027,fall,11,4PM-12AM,9.451333333
2028,winter,12,12AM-8AM,13.70709677
2028,winter,12,8AM-4PM,5.375483871
2028,winter,12,4PM-12AM,9.478709677
2028,winter,1,12AM-8AM,13.63225806
2028,winter,1,8AM-4PM,5.366451613
2028,winter,1,4PM-12AM,9.512903226
2028,winter,2,12AM-8AM,13.63793103
2028,winter,2,8AM-4PM,5.304137931
2028,winter,2,4PM-12AM,9.629655172
2028,spring,3,12AM-8AM,12.64064516
